idx,created_at,tree_dbh,curb_loc,steward,guards,sidewalk,user_type,problems,spc_common,spc_latin,nta,nta_name,borocode,boro_ct,boroname,zip_city,cb_num,st_senate,st_assem,cncldist,health
95,60,5,0,1,0,0,0,,6,6,15,15,2,89,2,2,11,2,12,19,1
96,175,6,0,,,1,2,,8,8,35,35,0,90,0,17,20,19,47,12,1
97,128,4,0,,,0,2,,24,24,24,24,4,26,4,6,16,11,19,17,1
98,157,4,0,,,1,1,,6,6,70,70,4,91,4,6,40,9,48,34,1
99,117,7,0,,,0,0,0,0,0,66,66,0,83,0,26,14,10,44,15,1
100,149,6,0,,,1,2,,6,6,71,71,0,92,0,28,41,10,23,7,2
101,142,5,0,,,1,0,12,9,9,55,55,4,93,4,6,34,9,49,34,1
102,174,12,0,,,0,0,1,0,0,44,44,0,94,0,22,28,19,28,29,1
103,44,15,0,,,0,0,1,8,8,64,64,2,95,2,2,2,2,2,2,1
104,69,3,0,1,2,1,0,,32,32,24,24,4,96,4,6,42,11,19,17,1
105,476,24,0,,,1,0,0,3,3,52,52,3,97,3,29,31,18,22,28,1
106,40,7,0,,,1,1,,10,10,6,6,0,87,0,9,5,5,16,5,1
107,21,5,0,,,0,2,,3,3,13,13,0,98,0,8,4,0,17,10,1
108,109,6,0,,,1,0,,6,6,72,72,4,99,4,6,43,24,50,41,1
109,20,4,0,,,0,0,13,7,7,13,13,0,100,0,8,4,0,17,10,1
110,69,30,0,,,0,2,,3,3,13,13,0,101,0,8,4,0,17,10,1
111,169,11,0,,,1,2,,9,9,73,73,0,102,0,30,20,7,24,22,1
112,117,25,0,,1,0,0,14,0,0,21,21,0,103,0,11,0,4,0,0,1
113,151,6,0,1,0,0,0,10,10,10,48,48,4,60,4,6,30,14,36,30,1
114,117,4,0,,,1,0,,15,15,3,3,2,104,2,2,2,2,2,2,0
115,486,16,0,,,0,0,15,33,33,74,74,0,105,0,9,5,5,26,23,0
116,299,18,0,,,0,2,16,34,34,15,15,2,16,2,2,11,2,12,8,2
117,416,22,0,,,1,0,,2,2,75,75,4,106,4,6,9,6,9,9,1
118,120,6,0,,,1,1,,16,16,29,29,0,76,0,16,14,0,11,0,1
119,382,16,0,,,0,2,17,16,16,76,76,1,107,1,1,44,1,1,1,1
120,394,8,0,,,0,0,3,19,19,77,77,1,108,1,1,45,25,51,42,1
121,97,5,0,1,,1,1,,9,9,31,31,0,109,0,15,20,7,24,22,1
122,212,15,1,,0,0,0,7,10,10,78,78,1,110,1,1,33,18,52,43,1
123,90,3,0,,,0,0,1,35,35,77,77,1,111,1,1,45,25,51,42,1
124,165,6,0,,,1,0,1,3,3,79,79,1,112,1,1,38,23,51,1,1
125,71,4,0,,,0,0,18,0,0,40,40,0,113,0,17,20,7,23,22,1
126,88,12,0,,,1,0,,6,6,64,64,2,81,2,2,2,2,2,2,1
127,132,16,0,1,,1,0,,10,10,3,3,2,114,2,2,2,2,2,2,1
128,470,19,0,,,1,2,,25,25,16,16,2,17,2,2,2,2,2,2,1
129,92,10,0,,0,1,0,7,20,20,62,62,2,79,2,2,8,2,8,8,1
130,70,6,0,1,0,1,0,,26,26,80,80,3,115,3,3,46,20,41,37,1
131,425,28,0,,,0,2,,8,8,52,52,3,97,3,29,31,18,22,28,2
132,56,16,0,,,0,0,,0,0,81,81,3,116,3,3,31,21,53,44,1
133,112,7,0,,,1,0,,3,3,82,82,0,117,0,31,7,7,7,7,1
134,125,5,1,,,1,2,,5,5,83,83,4,118,4,6,32,11,38,6,1
135,177,4,0,,,0,0,18,2,2,56,56,4,119,4,6,35,6,13,6,0
136,110,6,0,0,0,1,0,,2,2,21,21,0,23,0,11,0,4,17,0,1
137,178,7,0,1,,0,0,,24,24,84,84,1,120,1,1,39,25,45,42,1
138,427,3,0,0,,1,0,,6,6,85,85,1,121,1,1,47,18,54,45,1
139,63,20,0,,,1,0,,5,5,64,64,2,122,2,2,2,2,8,2,1
140,82,15,0,,,0,2,19,7,7,62,62,2,123,2,2,8,2,8,8,1
141,52,16,0,,,1,1,0,9,9,86,86,0,124,0,9,5,10,26,23,0
142,150,26,0,,,0,0,2,36,36,87,87,3,125,3,3,31,21,53,31,1
143,367,19,0,,,0,0,20,2,2,82,82,0,126,0,31,7,7,7,7,1
144,416,7,1,,,1,0,1,37,37,88,88,4,127,4,6,48,14,36,24,1
145,339,4,0,,,1,2,,32,32,89,89,4,128,4,6,40,9,48,14,1
146,479,12,0,,2,1,1,16,14,14,36,36,1,129,1,1,39,15,29,25,0
147,202,29,0,,,1,2,,16,16,90,90,3,130,3,3,18,8,55,28,1
148,204,4,0,,,1,0,,38,38,91,91,2,131,2,2,8,2,2,8,1
149,40,15,0,,1,0,0,2,26,26,7,7,4,132,4,6,6,16,42,38,0
150,399,7,0,0,,0,2,,26,26,37,37,4,133,4,6,24,16,30,26,1
151,225,6,0,,,0,1,,5,5,23,23,2,25,2,2,2,2,12,2,1
152,160,23,0,,,0,2,1,16,16,92,92,0,134,0,21,27,19,34,27,1
153,70,7,0,1,0,0,0,,9,9,93,93,4,135,4,6,36,20,35,9,1
154,427,11,0,,,1,0,,19,19,15,15,2,89,2,2,11,2,12,19,0
155,81,16,0,,,0,0,21,5,5,31,31,0,136,0,15,20,7,23,22,2
156,53,3,0,,,1,1,,39,39,61,61,0,137,0,32,7,7,44,7,1
157,211,15,1,,,1,0,22,2,2,23,23,2,138,2,2,2,2,2,2,1
158,88,4,0,1,2,0,0,,5,5,94,94,0,139,0,33,14,0,17,0,1
159,209,14,0,,,1,0,,16,16,95,95,0,140,0,34,29,10,44,15,1
160,157,15,0,,,0,0,,3,3,7,7,4,141,4,6,6,16,42,38,1
161,417,26,0,,,0,2,,3,3,96,96,1,142,1,1,23,15,56,33,1
162,132,7,0,1,0,0,0,,11,11,94,94,0,143,0,33,14,0,5,0,1
163,70,8,0,,,1,1,,9,9,22,22,0,144,0,12,15,4,18,16,1
164,44,13,0,,,0,0,,0,0,60,60,2,145,2,2,11,2,21,19,1
165,207,3,0,,,1,2,1,1,1,74,74,0,146,0,9,5,10,26,23,1
166,183,5,0,,,1,2,,21,21,30,30,0,147,0,14,19,4,10,21,1
167,41,6,0,,,1,0,,40,40,41,41,3,148,3,3,26,3,32,3,0
168,75,12,0,,,0,0,0,0,0,97,97,3,149,3,3,37,20,14,37,1
169,372,8,0,0,0,1,1,0,2,2,98,98,1,150,1,1,49,15,54,46,2
170,443,5,0,,,0,2,2,1,1,88,88,4,127,4,6,48,24,36,24,1
171,45,19,0,,,0,0,,15,15,29,29,0,76,0,16,14,5,11,0,0
172,403,30,0,,,0,2,,3,3,99,99,4,151,4,6,24,14,46,26,0
173,61,19,0,,0,0,0,2,2,2,34,34,4,37,4,6,22,14,27,24,1
174,119,18,0,,,0,0,2,10,10,49,49,2,78,2,2,8,2,12,8,1
175,42,3,0,,,1,0,1,16,16,100,100,2,152,2,2,11,13,21,19,1
176,24,3,0,,,0,0,2,16,16,29,29,0,31,0,16,14,0,5,0,1
177,130,4,1,1,0,1,0,,5,5,101,101,2,153,2,2,11,13,12,19,0
178,146,5,0,0,0,0,0,,26,26,3,3,2,48,2,2,2,2,2,2,1
179,142,24,0,,,1,0,1,16,16,102,102,3,154,3,3,21,8,25,13,1
180,138,29,0,,,1,2,3,41,41,74,74,0,155,0,9,5,10,26,23,1
181,382,6,0,,,0,2,1,3,3,25,25,3,49,3,3,17,12,20,20,1
182,141,31,0,,,0,1,1,10,10,62,62,2,79,2,2,8,2,8,8,0
183,63,5,0,,,1,0,,5,5,94,94,0,139,0,33,14,0,11,0,1
184,20,29,0,,2,1,0,1,42,42,103,103,2,156,2,2,11,13,21,19,0
185,87,12,0,1,2,1,2,,10,10,79,79,1,157,1,1,45,25,51,42,1
186,69,25,0,,,0,2,1,3,3,104,104,3,158,3,3,46,8,14,47,1
187,477,9,0,,,0,2,,41,41,37,37,4,159,4,6,24,16,30,26,2
188,444,26,0,,,1,0,2,16,16,7,7,4,141,4,6,6,16,42,38,1
189,129,14,0,,,0,0,23,9,9,105,105,0,160,0,9,10,5,11,11,1
190,78,3,0,,,0,2,,16,16,35,35,0,55,0,17,20,19,28,12,1
191,7,4,0,1,0,1,0,,5,5,106,106,1,161,1,1,44,1,57,1,1
192,127,23,0,,,1,0,0,14,14,26,26,2,162,2,2,11,13,21,19,1
193,41,3,0,,,1,0,,6,6,7,7,4,141,4,6,6,16,42,38,1
194,185,7,0,,,0,0,1,43,43,28,28,3,163,3,3,18,12,22,28,1
195,128,27,0,,,1,0,1,3,3,49,49,2,164,2,2,8,2,12,8,1
196,151,6,1,1,,1,0,,44,44,85,85,1,121,1,1,47,18,54,45,1
197,62,4,0,,,0,0,10,10,10,29,29,0,76,0,16,14,5,11,0,2
198,135,16,0,,,0,0,,16,16,106,106,1,165,1,1,44,1,1,1,1
199,149,13,0,,,1,1,,6,6,107,107,4,166,4,6,48,24,50,41,2
200,150,5,1,1,0,1,0,1,24,24,39,39,4,167,4,6,16,11,19,17,1
201,50,9,0,,,0,2,,9,9,108,108,4,168,4,6,43,24,36,24,1
202,391,11,0,,1,1,0,,14,14,109,109,4,169,4,6,6,6,6,6,0
203,465,4,1,,,1,2,,21,21,110,110,0,170,0,35,0,0,17,10,0
204,159,7,0,1,2,0,0,24,43,43,64,64,2,171,2,2,2,2,2,2,1
205,157,19,0,,,1,2,,9,9,4,4,3,4,3,3,3,3,3,3,1
206,150,19,0,,,0,0,10,0,0,111,111,1,172,1,1,45,1,29,1,1
207,73,14,0,,,1,2,17,45,45,112,112,0,173,0,26,14,5,16,15,2
208,478,6,0,,,0,2,,16,16,57,57,4,68,4,6,13,9,15,35,1
209,169,16,0,,0,1,2,18,0,0,113,113,0,174,0,4,4,0,4,10,0
210,186,13,0,1,0,0,0,3,28,28,114,114,4,175,4,6,50,14,36,30,0
211,162,15,0,,,1,0,2,10,10,16,16,2,176,2,2,2,2,2,2,1
212,462,5,0,,2,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1
213,48,16,0,,,0,0,2,9,9,7,7,4,85,4,6,6,16,42,38,1
214,147,14,0,1,1,1,0,1,10,10,56,56,4,177,4,6,35,6,6,6,1
215,13,9,0,,0,0,1,,0,0,12,12,2,42,2,2,2,2,2,8,2
216,178,12,0,,,1,2,1,5,5,16,16,2,176,2,2,2,2,2,2,1
217,463,22,0,1,,1,1,1,16,16,35,35,0,178,0,17,20,7,28,22,1
218,226,12,0,0,,0,0,25,21,21,0,0,0,0,0,0,0,0,0,0,2
219,416,8,0,,0,1,0,,46,46,65,65,1,82,1,1,38,23,43,40,1
220,162,7,0,,,1,1,,6,6,115,115,1,179,1,1,51,25,52,33,1
221,450,25,0,,,1,2,26,6,6,113,113,0,180,0,4,4,0,4,4,0
222,448,4,0,,,0,2,,16,16,116,116,0,181,0,36,0,0,0,4,1
223,441,13,0,,,0,0,8,19,19,35,35,0,38,0,17,20,7,28,22,1
224,92,4,0,,,1,2,,23,23,14,14,0,182,0,4,10,7,10,11,1
225,367,4,0,1,0,0,0,18,20,20,15,15,2,89,2,2,11,2,12,19,1
226,191,4,0,,,0,0,10,21,21,88,88,4,127,4,6,48,24,36,24,1
227,43,16,0,,,0,0,1,0,0,100,100,2,183,2,2,11,13,21,19,1
228,101,2,0,1,1,1,2,,20,20,3,3,2,114,2,2,2,2,2,2,1
229,147,11,0,,,1,2,17,14,14,100,100,2,152,2,2,11,13,21,19,1
230,151,11,0,,,0,0,5,3,3,117,117,0,184,0,9,5,10,26,23,1
231,206,17,0,0,,1,0,,6,6,118,118,4,185,4,6,36,11,40,36,1
232,88,18,0,,,1,0,1,3,3,119,119,4,186,4,6,42,11,40,36,1
233,43,4,0,,,1,0,,6,6,81,81,3,116,3,3,31,21,53,44,1
234,177,21,0,,0,1,2,,47,47,38,38,0,187,0,18,25,17,31,16,1
235,185,32,0,,,1,0,1,44,44,50,50,4,61,4,6,30,11,35,9,0
236,112,30,0,,,0,2,3,19,19,100,100,2,188,2,2,11,13,21,19,1
237,352,9,0,,0,0,2,27,48,48,120,120,1,189,1,1,38,23,43,40,2
238,77,5,0,,,1,0,,10,10,49,49,2,164,2,2,8,2,12,8,1
239,473,5,0,,1,1,0,1,16,16,44,44,0,190,0,37,28,19,28,29,0
240,440,27,0,,,0,2,1,3,3,107,107,4,166,4,6,48,24,50,41,1
241,135,5,0,,,0,2,2,49,49,32,32,3,34,3,3,21,8,25,13,2
242,39,20,0,,1,0,0,23,0,0,2,2,2,2,2,2,2,2,2,2,1
243,422,9,0,1,0,0,0,,50,50,19,19,4,20,4,6,13,9,15,14,1
244,63,7,0,1,,0,0,10,26,26,12,12,2,191,2,2,2,2,8,8,1
245,420,15,0,,0,0,1,,16,16,121,121,3,192,3,3,52,8,37,31,0
246,373,5,0,,1,0,0,,21,21,23,23,2,193,2,2,2,2,2,2,1
247,49,38,0,,,0,2,,16,16,122,122,4,194,4,6,6,16,42,38,1
248,147,24,0,,,1,0,1,3,3,123,123,2,195,2,2,8,13,8,8,0
249,41,15,0,,,0,0,3,16,16,56,56,4,67,4,6,35,6,13,6,1
250,55,2,0,1,0,1,0,,20,20,38,38,0,196,0,19,25,17,31,16,1
251,223,29,0,,,0,1,28,44,44,4,4,3,22,3,3,3,3,3,3,0
252,8,12,0,0,0,1,0,,6,6,124,124,3,197,3,3,18,3,22,18,0
253,50,33,0,,,0,2,6,3,3,125,125,1,198,1,1,39,25,45,42,1
254,349,16,0,,,0,0,29,39,39,126,126,4,199,4,6,53,22,58,36,1
255,421,21,0,,,1,2,,16,16,127,127,1,200,1,1,54,15,39,33,1
256,127,18,0,,,0,0,,9,9,35,35,0,201,0,17,20,7,23,22,1
257,4,20,0,,,0,2,10,51,51,116,116,0,202,0,4,0,0,17,10,1
258,144,23,0,,,1,0,1,3,3,56,56,4,119,4,6,35,6,13,6,1
259,128,6,0,,,0,2,3,8,8,52,52,3,203,3,3,31,21,37,31,1
260,100,5,0,,,0,1,1,0,0,65,65,1,82,1,1,38,23,43,40,1
261,83,4,0,,,1,0,0,5,5,37,37,4,204,4,6,24,9,46,48,2
262,42,7,0,,,1,2,2,10,10,99,99,4,151,4,6,24,14,46,48,1
263,140,2,0,1,,0,0,,10,10,28,28,3,205,3,3,18,12,55,28,1
264,448,15,0,,,1,0,,5,5,23,23,2,25,2,2,2,2,12,2,1
265,163,8,0,,,1,0,,0,0,73,73,0,102,0,30,20,7,24,22,1
266,160,25,0,,,1,0,17,3,3,67,67,1,84,1,1,39,23,45,40,1
267,171,6,0,,,1,0,,3,3,45,45,0,206,0,23,14,5,5,5,1
268,420,4,1,,,1,2,,47,47,128,128,1,207,1,1,51,15,52,33,1
269,24,6,0,,,0,1,2,1,1,129,129,4,208,4,6,9,20,9,9,1
270,479,4,0,1,0,1,0,,23,23,121,121,3,209,3,3,52,21,59,31,1
271,150,10,1,,,0,0,,0,0,2,2,2,2,2,2,2,2,2,2,1
272,60,10,0,1,1,0,0,,26,26,110,110,0,210,0,11,0,0,0,0,0
273,111,5,0,1,,0,0,,42,42,75,75,4,106,4,6,9,6,9,9,1
274,148,5,0,0,0,1,0,,5,5,87,87,3,211,3,3,31,21,37,31,1
275,147,24,0,,,1,0,0,16,16,74,74,0,212,0,9,5,5,26,5,1
276,346,17,0,,,0,0,30,14,14,29,29,0,213,0,13,14,0,11,0,1
277,53,16,0,,2,0,0,22,19,19,130,130,1,214,1,1,49,18,54,46,1
278,102,15,0,,,0,0,0,0,0,56,56,4,177,4,6,35,6,6,6,0
279,462,18,0,,,0,0,,0,0,35,35,0,55,0,17,20,19,28,12,1
280,184,24,0,,,1,0,23,16,16,68,68,4,86,4,6,13,24,46,35,1
281,203,26,0,,,0,2,1,11,11,39,39,4,215,4,6,16,11,19,17,0
282,52,15,0,,,1,0,10,9,9,130,130,1,214,1,1,49,18,54,46,1
283,82,24,0,1,,0,0,3,10,10,6,6,0,7,0,5,5,5,5,5,0
284,143,3,0,,,0,2,,3,3,118,118,4,185,4,6,36,11,40,36,0
285,120,30,0,,,1,1,1,3,3,0,0,0,216,0,0,0,0,17,10,0
286,96,17,0,,,0,1,5,3,3,91,91,2,131,2,2,8,2,2,8,2
287,155,3,1,0,0,1,2,,2,2,88,88,4,217,4,6,48,24,36,48,1
288,400,14,0,,,0,0,,0,0,13,13,0,100,0,8,4,0,17,10,1
289,183,16,0,1,0,0,0,8,5,5,59,59,3,70,3,3,37,20,41,37,1
290,73,6,0,0,0,1,0,4,11,11,103,103,2,218,2,2,11,13,8,19,1
291,92,17,0,1,0,1,0,,52,52,7,7,4,219,4,6,6,16,42,38,0
292,427,24,0,,,1,0,,16,16,112,112,0,220,0,10,14,5,16,15,1
293,88,4,0,0,0,0,2,,43,43,88,88,4,127,4,6,48,14,36,24,0
294,202,14,0,,0,0,0,10,26,26,88,88,4,221,4,6,48,14,27,48,1
295,129,4,0,,,1,0,,28,28,131,131,4,222,4,6,24,16,60,26,1
296,3,7,0,,,0,0,,21,21,10,10,2,11,2,2,8,2,8,8,1
297,130,15,0,1,0,0,0,,2,2,39,39,4,167,4,6,16,11,19,17,0
298,140,12,0,1,0,1,1,18,12,12,13,13,0,101,0,38,4,0,10,10,1
299,91,26,1,,,1,0,0,16,16,132,132,4,223,4,6,34,9,49,34,0
300,141,7,0,,,1,2,,24,24,6,6,0,224,0,5,5,5,5,5,1
301,157,3,0,,2,1,1,,21,21,133,133,4,225,4,6,9,20,9,9,0
302,476,6,0,,,1,0,,16,16,30,30,0,226,0,14,19,5,10,21,1
303,142,24,0,,,0,2,,16,16,7,7,4,227,4,6,6,16,42,38,1
304,417,5,1,1,2,1,0,,2,2,28,28,3,228,3,3,18,12,55,28,0
305,101,12,0,,2,1,2,,5,5,8,8,0,229,0,4,4,4,4,4,1
306,190,12,0,,,1,2,,3,3,15,15,2,230,2,2,11,2,21,19,1
307,61,13,0,,,0,1,,53,53,13,13,0,231,0,8,4,0,4,10,1
308,130,7,0,0,0,1,0,,26,26,112,112,0,232,0,26,14,5,16,15,1
309,88,25,0,1,2,0,2,,26,26,134,134,3,233,3,3,3,3,3,3,1
310,407,6,0,,1,1,2,19,9,9,110,110,0,234,0,35,0,0,17,10,1
311,59,4,0,0,0,1,0,,6,6,71,71,0,92,0,28,41,10,23,7,1
312,441,16,0,,,0,2,,19,19,135,135,0,235,0,16,14,5,5,0,1
313,339,5,0,,,1,1,,21,21,136,136,4,236,4,6,22,14,27,48,1
314,366,7,0,,,1,2,,10,10,110,110,0,237,0,35,0,0,17,10,2
315,34,8,0,,,1,0,,8,8,137,137,1,238,1,1,23,15,56,33,1
316,150,16,0,,,0,2,7,8,8,117,117,0,184,0,9,5,10,26,23,1
317,380,20,0,,,0,0,0,19,19,138,138,1,239,1,1,55,25,61,49,1
318,30,5,0,,,1,0,,10,10,139,139,1,240,1,1,47,1,57,45,1
319,156,30,0,,,1,0,1,3,3,76,76,1,241,1,1,44,1,1,1,1
320,368,16,0,,,0,2,31,54,54,36,36,1,129,1,1,39,15,29,25,1
321,155,3,0,,,1,0,,26,26,9,9,0,242,0,7,7,7,7,7,1
322,97,23,0,,,1,2,,16,16,125,125,1,198,1,1,39,25,45,42,1
323,216,9,0,,,0,0,,11,11,16,16,2,243,2,2,2,2,2,2,1
324,149,25,0,,,0,0,1,2,2,88,88,4,244,4,6,48,24,36,41,0
325,69,6,0,,,0,0,,16,16,84,84,1,245,1,1,39,25,45,42,0
326,406,4,0,,,1,0,,32,32,2,2,2,246,2,2,2,2,2,2,0
327,62,9,0,,,0,1,10,16,16,140,140,0,247,0,39,29,10,44,15,1
328,178,18,0,,,0,1,,0,0,21,21,0,103,0,11,0,4,0,0,1
