idx,created_at,tree_dbh,curb_loc,health,steward,guards,sidewalk,user_type,problems,spc_common,spc_latin,nta,nta_name,borocode,boro_ct,boroname,zip_city,cb_num,st_senate,st_assem,cncldist,health_is_0,health_is_1,health_is_2
52,2016-05-11,15,OnCurb,0,,,NoDamage,NYC Parks Staff,,red horse chestnut,Aesculus x carnea,MN12,Upper West Side,1,1016900,Manhattan,New York,107,29,69,6,1,0,0
53,2015-08-19,24,OnCurb,0,,,Damage,Volunteer,,honeylocust,Gleditsia triacanthos var. inermis,QN70,Astoria,4,4006300,Queens,Astoria,401,12,36,22,1,0,0
54,2016-07-04,11,OnCurb,1,,,Damage,Volunteer,,littleleaf linden,Tilia cordata,QN31,Hunters Point-Sunnyside-West Maspeth,4,4019900,Queens,Long Island City,402,12,37,26,0,1,0
55,2015-10-15,3,OnCurb,1,1or2,Helpful,Damage,Volunteer,,Amur maple,Acer ginnala,QN33,Cambria Heights,4,4061400,Queens,Cambria Heights,413,14,33,27,0,1,0
56,2015-11-10,2,OnCurb,1,,,Damage,Volunteer,RootOtherTrunkOtherBranchOther,pin oak,Quercus palustris,QN23,College Point,4,4090700,Queens,Flushing,407,11,27,19,0,1,0
57,2015-07-25,6,OnCurb,1,1or2,,Damage,Volunteer,,American linden,Tilia americana,QN20,Ridgewood,4,4053900,Queens,Ridgewood,405,12,37,34,0,1,0
58,2016-06-27,5,OnCurb,1,,,NoDamage,TreesCount Staff,,pin oak,Quercus palustris,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,4,4092800,Queens,Rockaway Park,414,15,23,32,0,1,0
59,2016-06-16,4,OnCurb,1,1or2,Helpful,Damage,Volunteer,,American elm,Ulmus americana,BK37,Park Slope-Gowanus,3,3015700,Brooklyn,Brooklyn,306,21,52,39,0,1,0
60,2015-11-01,29,OnCurb,1,,,Damage,NYC Parks Staff,BranchLights,catalpa,Catalpa,SI05,New Springville-Bloomfield-Travis,5,5029103,Staten Island,Staten Island,502,24,63,50,0,1,0
61,2015-11-11,18,OnCurb,1,,Unsure,Damage,TreesCount Staff,StonesWiresRopeBranchLights,littleleaf linden,Tilia cordata,QN33,Cambria Heights,4,4061200,Queens,Cambria Heights,413,14,33,27,0,1,0
62,2015-06-08,17,OnCurb,0,,Helpful,Damage,Volunteer,,littleleaf linden,Tilia cordata,BK37,Park Slope-Gowanus,3,3015100,Brooklyn,Brooklyn,306,21,44,39,1,0,0
63,2016-06-24,4,OnCurb,1,,,Damage,TreesCount Staff,BranchLights,pin oak,Quercus palustris,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3,3012700,Brooklyn,Brooklyn,306,25,52,33,0,1,0
64,2015-08-12,16,OnCurb,0,1or2,Harmful,NoDamage,Volunteer,StonesTrunkOtherBranchOther,American linden,Tilia americana,MN23,West Village,1,1007300,Manhattan,New York,102,27,66,3,1,0,0
65,2016-05-17,6,OnCurb,1,,,NoDamage,TreesCount Staff,,American elm,Ulmus americana,BK33,Carroll Gardens-Columbia Street-Red Hook,3,3004500,Brooklyn,Brooklyn,306,26,52,39,0,1,0
66,2015-08-12,5,OnCurb,1,,,Damage,Volunteer,RootOther,Norway maple,Acer platanoides,MN40,Upper East Side-Carnegie Hill,1,1014801,Manhattan,New York,108,28,73,4,0,1,0
67,2015-10-23,14,OnCurb,1,,,NoDamage,TreesCount Staff,,Callery pear,Pyrus calleryana,BK81,Brownsville,3,3090000,Brooklyn,Brooklyn,316,20,55,41,0,1,0
68,2015-09-19,6,OffsetFromCurb,1,,,NoDamage,TreesCount Staff,BranchLights,littleleaf linden,Tilia cordata,BX34,Melrose South-Mott Haven North,2,2007500,Bronx,Bronx,201,32,79,17,0,1,0
69,2015-09-25,3,OnCurb,1,,,Damage,Volunteer,TrunkOtherBranchLightsBranchOther,English oak,Quercus robur,BK31,Bay Ridge,3,3004400,Brooklyn,Brooklyn,310,22,64,43,0,1,0
70,2016-06-26,27,OnCurb,1,,,NoDamage,Volunteer,,Norway maple,Acer platanoides,BK77,Bushwick North,3,3043300,Brooklyn,Brooklyn,304,18,53,37,0,1,0
71,2016-08-30,24,OnCurb,1,,,NoDamage,TreesCount Staff,BranchLights,London planetree,Platanus x acerifolia,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,3,3062000,Brooklyn,Brooklyn,315,22,45,48,0,1,0
72,2015-08-06,9,OnCurb,1,,Helpful,Damage,Volunteer,,Sophora,Styphnolobium japonicum,BK68,Fort Greene,3,3003100,Brooklyn,Brooklyn,302,25,57,35,0,1,0
73,2015-06-21,13,OnCurb,1,1or2,Harmful,NoDamage,Volunteer,,green ash,Fraxinus pennsylvanica,MN25,Battery Park City-Lower Manhattan,1,1031704,Manhattan,New York,101,26,65,1,0,1,0
74,2016-07-18,17,OffsetFromCurb,0,,,Damage,Volunteer,,katsura tree,Cercidiphyllum japonicum,QN37,Kew Gardens Hills,4,4077902,Queens,Flushing,408,15,27,24,1,0,0
75,2015-07-21,16,OnCurb,0,,,Damage,TreesCount Staff,Stones,London planetree,Platanus x acerifolia,BK82,East New York,3,3122000,Brooklyn,Brooklyn,305,19,60,42,1,0,0
76,2015-10-09,9,OnCurb,0,,Helpful,Damage,TreesCount Staff,,Callery pear,Pyrus calleryana,MN40,Upper East Side-Carnegie Hill,1,1015002,Manhattan,New York,108,28,73,4,1,0,0
77,2015-12-02,14,OnCurb,1,,,Damage,TreesCount Staff,Stones,American elm,Ulmus americana,SI35,New Brighton-Silver Lake,5,5005900,Staten Island,Staten Island,501,24,61,49,0,1,0
78,2015-09-27,20,OnCurb,1,,,Damage,TreesCount Staff,,maple,Acer,MN40,Upper East Side-Carnegie Hill,1,1015002,Manhattan,New York,108,28,73,4,0,1,0
79,2015-09-19,14,OnCurb,0,,,Damage,Volunteer,,Japanese zelkova,Zelkova serrata,QN55,South Ozone Park,4,4015802,Queens,South Richmond Hill,410,10,24,28,1,0,0
80,2015-11-03,3,OnCurb,1,3or4,Helpful,NoDamage,TreesCount Staff,,cherry,Prunus,SI35,New Brighton-Silver Lake,5,5005900,Staten Island,Staten Island,501,24,61,49,0,1,0
81,2015-10-31,4,OnCurb,0,,,Damage,TreesCount Staff,,pin oak,Quercus palustris,QN43,Bellerose,4,4130100,Queens,Queens Village,413,11,24,23,1,0,0
82,2016-09-06,18,OnCurb,1,,,NoDamage,NYC Parks Staff,,American elm,Ulmus americana,SI35,New Brighton-Silver Lake,5,5010500,Staten Island,Staten Island,501,23,61,49,0,1,0
83,2015-10-28,7,OnCurb,1,,,Damage,TreesCount Staff,,American hophornbeam,Ostrya virginiana,SI05,New Springville-Bloomfield-Travis,5,5027301,Staten Island,Staten Island,502,24,63,50,0,1,0
84,2015-09-16,3,OnCurb,1,,Helpful,NoDamage,Volunteer,BranchLights,American elm,Ulmus americana,SI36,Old Town-Dongan Hills-South Beach,5,5011401,Staten Island,Staten Island,502,24,64,50,0,1,0
85,2015-09-03,5,OnCurb,1,,,Damage,TreesCount Staff,BranchLights,Callery pear,Pyrus calleryana,QN72,Steinway,4,4033100,Queens,Flushing,401,13,35,21,0,1,0
86,2016-09-15,2,OnCurb,1,1or2,Helpful,NoDamage,NYC Parks Staff,,maple,Acer,SI54,Great Kills,5,5014604,Staten Island,Staten Island,503,24,62,51,0,1,0
87,2015-07-15,5,OnCurb,1,,,NoDamage,TreesCount Staff,Stones,London planetree,Platanus x acerifolia,BX03,Eastchester-Edenwald-Baychester,2,2048400,Bronx,Bronx,212,36,83,12,0,1,0
88,2015-12-01,14,OnCurb,1,,,Damage,NYC Parks Staff,,bur oak,Quercus macrocarpa,QN03,Springfield Gardens South-Brookville,4,4032000,Queens,Springfield Gardens,413,10,31,31,0,1,0
89,2016-09-06,3,OffsetFromCurb,0,1or2,Helpful,Damage,Volunteer,Stones,Sophora,Styphnolobium japonicum,BX13,Co-op City,2,2046201,Bronx,Bronx,210,36,82,12,1,0,0
90,2016-08-31,18,OnCurb,1,,,NoDamage,TreesCount Staff,,cockspur hawthorn,Crataegus crusgalli var. inermis,BK82,East New York,3,3112400,Brooklyn,Brooklyn,305,19,60,42,0,1,0
91,2015-11-29,3,OnCurb,1,,,Damage,TreesCount Staff,,littleleaf linden,Tilia cordata,BK76,Greenpoint,3,3057500,Brooklyn,Brooklyn,301,18,50,33,0,1,0
92,2015-11-04,14,OnCurb,1,,,Damage,NYC Parks Staff,,honeylocust,Gleditsia triacanthos var. inermis,BK44,Madison,3,3054800,Brooklyn,Brooklyn,315,17,41,48,0,1,0
93,2016-06-25,9,OnCurb,1,,,NoDamage,Volunteer,,littleleaf linden,Tilia cordata,QN08,St. Albans,4,4042400,Queens,Jamaica,412,14,29,27,0,1,0
94,2015-06-17,31,OnCurb,1,,,Damage,TreesCount Staff,Stones,pin oak,Quercus palustris,QN25,Corona,4,4043900,Queens,Corona,404,13,39,21,0,1,0
95,2015-07-18,5,OnCurb,1,1or2,Helpful,Damage,Volunteer,,cherry,Prunus,SI07,Westerleigh,5,5016901,Staten Island,Staten Island,501,24,63,49,0,1,0
96,2015-11-10,6,OnCurb,1,,,NoDamage,TreesCount Staff,,Norway maple,Acer platanoides,QN20,Ridgewood,4,4055500,Queens,Ridgewood,405,12,38,34,0,1,0
97,2015-09-24,4,OnCurb,1,,,Damage,TreesCount Staff,,American linden,Tilia americana,BK61,Crown Heights North,3,3024700,Brooklyn,Brooklyn,303,25,56,36,0,1,0
98,2015-10-23,4,OnCurb,1,,,NoDamage,NYC Parks Staff,,cherry,Prunus,BK28,Bensonhurst West,3,3018200,Brooklyn,Brooklyn,311,22,47,43,0,1,0
99,2015-09-13,7,OnCurb,1,,,Damage,Volunteer,StonesBranchLights,English oak,Quercus robur,QN03,Springfield Gardens South-Brookville,4,4032000,Queens,Springfield Gardens,413,10,31,31,0,1,0
100,2015-10-15,6,OnCurb,2,,,NoDamage,TreesCount Staff,,cherry,Prunus,QN54,Richmond Hill,4,4013000,Queens,Richmond Hill,409,10,28,32,0,0,1
101,2015-10-08,5,OnCurb,1,,,NoDamage,Volunteer,MetalGratesRootOtherBranchOther,Japanese zelkova,Zelkova serrata,BK31,Bay Ridge,3,3016000,Brooklyn,Brooklyn,310,22,46,43,0,1,0
102,2015-11-09,12,OnCurb,1,,,Damage,Volunteer,Stones,English oak,Quercus robur,QN31,Hunters Point-Sunnyside-West Maspeth,4,4001900,Queens,Long Island City,402,12,37,26,0,1,0
103,2015-07-02,15,OnCurb,1,,,Damage,Volunteer,Stones,Norway maple,Acer platanoides,SI54,Great Kills,5,5015603,Staten Island,Staten Island,503,24,62,51,0,1,0
104,2015-07-27,3,OnCurb,1,1or2,Unsure,NoDamage,Volunteer,,Japanese tree lilac,Syringa reticulata,BK61,Crown Heights North,3,3034700,Brooklyn,Brooklyn,308,25,56,36,0,1,0
105,2016-09-06,24,OnCurb,1,,,NoDamage,Volunteer,StonesBranchLights,London planetree,Platanus x acerifolia,MN40,Upper East Side-Carnegie Hill,1,1014300,Manhattan,Central Park,108,29,69,6,0,1,0
106,2015-06-28,7,OnCurb,1,,,NoDamage,NYC Parks Staff,,green ash,Fraxinus pennsylvanica,QN08,St. Albans,4,4042400,Queens,Jamaica,412,14,29,27,0,1,0
107,2015-06-09,5,OnCurb,1,,,Damage,TreesCount Staff,,London planetree,Platanus x acerifolia,QN49,Whitestone,4,4098700,Queens,Whitestone,407,11,26,19,0,1,0
108,2015-09-05,6,OnCurb,1,,,NoDamage,Volunteer,,cherry,Prunus,BK88,Borough Park,3,3023600,Brooklyn,Brooklyn,312,17,48,44,0,1,0
109,2015-06-08,4,OnCurb,1,,,Damage,Volunteer,StonesWiresRopeTrunkLightsBranchLights,Siberian elm,Ulmus pumila,QN49,Whitestone,4,4103900,Queens,Whitestone,407,11,26,19,0,1,0
110,2015-07-27,30,OnCurb,1,,,Damage,TreesCount Staff,,London planetree,Platanus x acerifolia,QN49,Whitestone,4,4094500,Queens,Whitestone,407,11,26,19,0,1,0
111,2015-11-04,11,OnCurb,1,,,NoDamage,TreesCount Staff,,Japanese zelkova,Zelkova serrata,QN30,Maspeth,4,4052100,Queens,Maspeth,405,15,30,30,0,1,0
112,2015-09-13,25,OnCurb,1,,Harmful,Damage,Volunteer,MetalGratesRootOtherTrunkOther,English oak,Quercus robur,QN42,Oakland Gardens,4,4137700,Queens,Oakland Gardens,411,16,25,23,0,1,0
113,2015-10-17,6,OnCurb,1,1or2,Helpful,Damage,Volunteer,RootOther,green ash,Fraxinus pennsylvanica,BK37,Park Slope-Gowanus,3,3015100,Brooklyn,Brooklyn,306,21,44,39,0,1,0
114,2015-09-13,4,OnCurb,0,,,NoDamage,Volunteer,,Schumard's oak,Quercus shumardii,SI11,Charleston-Richmond Valley-Tottenville,5,5024402,Staten Island,Staten Island,503,24,62,51,1,0,0
115,2016-09-16,16,OnCurb,0,,,Damage,Volunteer,StonesMetalGrates,eastern hemlock,Tsuga canadensis,QN01,South Jamaica,4,4025400,Queens,Jamaica,412,14,32,28,1,0,0
116,2016-03-13,18,OnCurb,2,,,Damage,TreesCount Staff,StonesRootOtherBranchOther,sassafras,Sassafras albidum,SI07,Westerleigh,5,5018901,Staten Island,Staten Island,501,24,63,50,0,0,1
117,2016-07-08,22,OnCurb,1,,,NoDamage,Volunteer,,honeylocust,Gleditsia triacanthos var. inermis,BK73,North Side-South Side,3,3051500,Brooklyn,Brooklyn,301,18,50,33,0,1,0
118,2015-09-16,6,OnCurb,1,,,NoDamage,NYC Parks Staff,,pin oak,Quercus palustris,QN43,Bellerose,4,4130100,Queens,Queens Village,413,11,24,23,0,1,0
119,2016-06-04,16,OnCurb,1,,,Damage,TreesCount Staff,StonesRootOther,pin oak,Quercus palustris,BX06,Belmont,2,2039300,Bronx,Bronx,206,33,78,15,0,1,0
120,2016-06-16,8,OnCurb,1,,,Damage,Volunteer,StonesTrunkOther,silver maple,Acer saccharinum,BX49,Pelham Parkway,2,2025000,Bronx,Bronx,211,34,80,13,0,1,0
121,2015-08-24,5,OnCurb,1,1or2,,NoDamage,NYC Parks Staff,,Japanese zelkova,Zelkova serrata,QN21,Middle Village,4,4066501,Queens,Middle Village,405,15,30,30,0,1,0
122,2015-12-17,15,OffsetFromCurb,1,,Helpful,Damage,Volunteer,MetalGrates,green ash,Fraxinus pennsylvanica,BX39,Mott Haven-Port Morris,2,2002500,Bronx,Bronx,201,29,84,8,0,1,0
123,2015-08-17,3,OnCurb,1,,,Damage,Volunteer,Stones,sawtooth oak,Quercus acutissima,BX49,Pelham Parkway,2,2022403,Bronx,Bronx,211,34,80,13,0,1,0
124,2015-10-31,6,OnCurb,1,,,NoDamage,Volunteer,Stones,London planetree,Platanus x acerifolia,BX07,Bronxdale,2,2033800,Bronx,Bronx,212,36,80,15,0,1,0
125,2015-07-29,4,OnCurb,1,,,Damage,Volunteer,BranchOther,English oak,Quercus robur,QN19,Glendale,4,4063900,Queens,Ridgewood,405,15,28,30,0,1,0
126,2015-08-15,12,OnCurb,1,,,NoDamage,Volunteer,,cherry,Prunus,SI54,Great Kills,5,5014604,Staten Island,Staten Island,503,24,62,51,0,1,0
127,2015-09-28,16,OnCurb,1,1or2,,NoDamage,Volunteer,,green ash,Fraxinus pennsylvanica,SI11,Charleston-Richmond Valley-Tottenville,5,5022600,Staten Island,Staten Island,503,24,62,51,0,1,0
128,2016-08-31,19,OnCurb,1,,,NoDamage,TreesCount Staff,,catalpa,Catalpa,SI32,Rossville-Woodrow,5,5020804,Staten Island,Staten Island,503,24,62,51,0,1,0
129,2015-08-19,10,OnCurb,1,,Helpful,NoDamage,Volunteer,MetalGrates,ginkgo,Ginkgo biloba,SI36,Old Town-Dongan Hills-South Beach,5,5011401,Staten Island,Staten Island,502,24,64,50,0,1,0
130,2015-07-28,6,OnCurb,1,1or2,Helpful,NoDamage,Volunteer,,Sophora,Styphnolobium japonicum,MN27,Chinatown,1,1000800,Manhattan,New York,103,26,65,1,0,1,0
131,2016-07-17,28,OnCurb,2,,,Damage,TreesCount Staff,,Norway maple,Acer platanoides,MN40,Upper East Side-Carnegie Hill,1,1014300,Manhattan,Central Park,108,29,69,6,0,0,1
132,2015-07-14,16,OnCurb,1,,,Damage,Volunteer,,English oak,Quercus robur,MN32,Yorkville,1,1013600,Manhattan,New York,108,28,76,5,0,1,0
133,2015-09-08,7,OnCurb,1,,,NoDamage,Volunteer,,London planetree,Platanus x acerifolia,QN57,Lindenwood-Howard Beach,4,4089200,Queens,Howard Beach,410,15,23,32,0,1,0
134,2015-09-21,5,OffsetFromCurb,1,,,NoDamage,TreesCount Staff,,littleleaf linden,Tilia cordata,BK79,Ocean Hill,3,3036900,Brooklyn,Brooklyn,316,25,55,37,0,1,0
135,2015-11-12,4,OnCurb,0,,,Damage,Volunteer,BranchOther,honeylocust,Gleditsia triacanthos var. inermis,BK77,Bushwick North,3,3044300,Brooklyn,Brooklyn,304,18,53,37,1,0,0
136,2015-09-06,6,OnCurb,1,3or4,Helpful,NoDamage,Volunteer,,honeylocust,Gleditsia triacanthos var. inermis,QN42,Oakland Gardens,4,4138501,Queens,Oakland Gardens,411,16,26,23,0,1,0
137,2015-11-13,7,OnCurb,1,1or2,,Damage,Volunteer,,American linden,Tilia americana,BX10,Pelham Bay-Country Club-City Island,2,2030000,Bronx,Bronx,210,34,82,13,0,1,0
